Sentiment,Class
structure film easily tightly constructed history cinema think film something vitally important occurs every minute words content level film enough easily fill dozen films anyone right mind ask anything movie quite simply highest superlative form cinema imaginable yes film require rather significant amount puzzlesolving pieces fit together create beautiful picture short film certainly pulls punches graphics far best part game number one best th game series deserves strong love insane game massive levels massive unlockable characters massive game waste money game kind money wasted properly actually graphics good time today graphics crap say canada fun game aye game rocks buy play enjoy love pure brilliance flick doomed conception idea lame take minor character mediocre pg film make complete nonsequel changing tone pgrated family movie least bit interested confirm film would unfunny generic also managed give away entire movie exaggerating every moment every plot point every joke told trailer funny even talented carrell cannot save costars fare much better people like morgan freeman jonah hill ed helms wasted story predictable lazy real effects work presence animals integration scenes worst obvious bluegreenscreen work ever seen whatever cost much translate quality sure film succeeds despite perhaps obviously meagre budget glad film go obvious choice lesser film certainly would addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen hard fall headoverheels love girl negative insipid enough cause regret another hours life wasted front screen long whiny pointless recommend waiting future efforts let one go excellent cast story line performances totally believable anne heche utterly convincing sam shepards portrayal gung ho marine sobering sat riveted tv screen give one resounding think tom hanks good actor enjoyed reading book children little disappointed movie one character totally annoying voice gives feeling fingernails chalkboard totally unnecessary trainroller coaster scene absolutely warmth charm scenes characters movie totally grates nerves performances improved improvisation actors twice much worry whether delivering line well whether line good quite honestly often good often dialogue really follow one line another fit surroundings crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly generally great things would say worth hours time though suspense builders good cross line g pg especially liked noncliche choices parents movies could predict dialog verbatim writing movie made better selections want movie gross gives chills great choice alexander nevsky great film amazing film artist one important whoever lived glad pretentious piece planned dodge stratus big shots going help movie makers restrained movie business qubec,0
first movie given years,1
ever movie needed wordofmouth promote,1
overall film interesting thoughtprovoking,1
plus wellpaced suited relatively short run time,1
give one look,1
gave,1
wind lion well written superbly acted,1
true classic,1
actually turned pretty decent far blist horrorsuspense films go,1
definitely worth checking,1
problem script,0
horrendous,0
nothing believable,0
suspense feeling frustration retarded girls,0
manna heaven terrific film predictable unpredictable time,1
scenes often funny occasionally touching characters evaluate lives going,1
cast veteran actors nostalgia trip,1
ursula burtons portrayal nun touching funny time making fun nuns church,1
looking movie terrific cast good musicincluding shirley jones rendition way look tonight uplifting ending give one try,1
think disappointed,1
frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0
acting bad dialogs extremely shallow insincere,0
predictable even chick flick,0
politically correct,0
disappointing,0
thing really worth watching scenery house beautiful,1
love lane never seen movie lousy,0
hour half wish could bring back,0
terms writing fresh bold,1
acting helps writing along well maybe idiotsavant sister could played better real joy watch,1
directing cinematography quite good,0
movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0
sometimes embarrassing look away,0
directing seems pretentious,0
scenes ohsomature neighbourgirl misplace,0
generally lines plot weaker average episode,0
scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0
applause given prelude however,1
really liked,1
great film great director,1
movie edge seat made somewhat afraid go car end night,1
music film really nice,1
id advise anyone go see,1
brilliant,1
,1
liked movie way much,1
problem thought actor playing villain low rent michael ironside,0
rocked world certainly must see anyone social physical outlets,1
however make fact overall tremendously boring movie,0
chemistry ben affleck sandra bullock film could understand would consider even leaving wifetobe chick supposedly knocked,0
several moments movie need excruciatingly slow moving,0
poor remake best friends wedding,0
great disappointment,0
cannot believe actors agreed film,0
could stand even watch long fear losing iq,0
guess nobody network aired dribble watched putting,0
imdb ratings go low awful time get negative numbers cases,0
saw mirrormask last night unsatisfactory experience,0
unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0
central themes film handled ineptly stereotypically depth imagination,0
pretty pictures world cannot make piece work flawed core,0
hour half waste time following bunch pretty high schoolers whine cry life,0
cannot relate hell barely understand,0
definitely cult classic well worth viewing sharing others,1
movie pure disaster story stupid editing worst seen confuses incredibly,0
fish badly made underwater shots repeated thousand times film,0
truly truly bad film,0
acting terrible writing worse,0
possible way movie could redeemed would mstk fodder,0
paid much,0
also real treat see anthony quinn playing crazy horse,1
boring,0
plot whatsoever,0
plot,0
horrible,0
worst hour half lifeoh gosh,0
walk theatre minutes get relief,0
hate movies like,0
yeah movie pretty much sucked,0
plot storyline,0
go see movie bring pillow girlfriendboyfriend keep occupied,0
awful,0
think ever gone movie disliked much,0
good thing tickets cost five dollars would mad id paid see crap,0
nobody identifies characters cardboard cutouts stereotypes predictably reversestereotypes,0
bad film bad writing good actorsan ugly cartoon crafted paul haggis people cannot handle anything bold strokes storytellinga picture painted crayons,0
crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things,0
still like movie empowerment women enough movies like one,1
brain attempt shutdown part primal impulse selfpreservation,0
left shattered experience watching film took good two hours fully recover,0
movie joins revenge boogeyman zombiez part hellish trinity horror films,0
certainly mean distinction good way,0
mean terrible way,0
film redeeming features,0
everything appalling,0
artless camerawork endlessly presents us ugliest setting imaginable,0
story beyond stupid,0
script script,0
kids annoying,0
lead man charismafree,0
utterly without merit level akin torture,0
ill even say torture,0
maybe would reasonable explanation atrocity,0
pleasant voyage selfdiscovery,0
highly unrecommended,0
premise sound stupid,0
yes bad,0
nothing recommend,0
excellent performance ms,1
garbo showed right bat talents could carry silent era wanted see silent work netflix seem stocking,1
also great see renowned silent screenwriter frances marion missed step going silent sound,1
movie suffered writing needed suspense,0
many close ups,0
movie seemed drag heroes really work freedom,0
movie definitely average rent,0
love movie bad bad film way long definitely one bad ones movie received great quality film age john wayne incredible job young movie industry screen presence shined thought even though senior actors screen think must see older john wayne film really see anyone could enjoy movie think ever seen movie half boring selfindulgent piece junk probably would better director spent movie showcasing art work really noteworthy another thing really like character got punched face gallon blood would spew forth soon jamie foxx absolutely ray charles performance simply genius owns film spacek owned coal miners daughter quaid owned great balls fire,1
fact hard remember part ray charles acted played man ray charles legendary ray charles life provided excellent biographical material film goes well beyond another movie musician hitchcock great director ironically mostly find films total waste time watch secondly hitchcock pretty much perfected thriller chase movie pandering audience sabotages films hence whole story lacks certain energy plot simply rumbles like machine desperately depending addition new scenes usual hitchcock logic flaws mishima extremely uninteresting chilly unremarkable movie author livingworking chilly abstruse culture flat reenactments hold attention emotionally adrift stagy rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc bore pieces kill momentum movie quicker anyone else schrader made resume full lousy amateurish films first watched movie loved totally fascinated music dancing everything however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing mean realistic world would never gotten ballet repertory whole thing quite pathetic character developments also lacked depth woa talk awful waste time horrible worst sappiest dialogue could go really made unwatchable direction poor actors cannot even tell talent pathetic lines speak director gave action check directors filmography site see film chance would even good made tv flick good intentions made film great film might one greatest films ever made film great actors master director significant themeat least wouldbe significant theme undertone fifties existential worldweariness aerial scenes ought thrilled senses imagination characters one might deeply care regrettably film fails movie lacks visual interest drama expression feeling celebration patriotism underlines narrative actress worse used june allison movie yet enjoy watching unfortunately bad movie plain bad bad script bad direction horrible acting make one plain bad dialogue sucked cinematographyif called thatsucked soundtrack sucked acting sucked concert sequences sucked nice funny funny overall movie cheap trash movie funny considering ridiculousness came feeling angry spoilers whatever else cannot said surface superbly crafted cinematography simply stunning say least fx nothing stateoftheart conceptually show offers little bit everything everybody parents kids fantasy andor fx fans single sour note struck actingwise either surprisingly solid casting things considered job well done thanks good movie like done released one best mexican movies ever one less understood even mexican matter identified felt ranks highly great noircrimedrama incredible performances belmondo lino ventura attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous excellent drama excellent thriller excellent film best melville everything film simply incredible truly take journey eyes soul child black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience performances real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous thoroughly enjoyed christopher eccleston took control tardis continuation series sure trying film turn good day feeling night disturbing memories guess succeeded lot beautiful places forced like everything movie lame movie really pied even get started jerky camerawork saw theater thought going sick summary witticisms witty plot well said id let one go acting bad really bad even billy bob could rise script worse camerawork bad rating amazing finale possibly best trilogy time kieslowski never ceases amaze one favourite directors one talented directors history cinema use colours french flag three films nothing short incredible every shot every scene like work art three visually appealing movies ever seen subtle connections three films awesome mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years could think better way end film smile face great way wrap amazing film trilogy recommend everyone loves film movies anythinga work art movie trilogy literally vomited watching film think one people found another one roths pearls performance awarded stunning story told eloquently francis ford coppola years earlier really unfolds gradually leaves room characters develop wonderful location lies story contrast beautiful directed film nicolas roeg wih sublime cast translating movies living first movie year working experience found offensive intelligence someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0
find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things,0
one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character much,0
fun funny movie,1
highly entertaining angles,1
features outlandish array memorable psychotic lovable nuts,1
enjoyment get see run around play games dangerous,1
even sweet moments,1
telephone repair man really funny reactions nuts bitchy boss truly genuine,1
characters film tremendously well played,1
really find funny,1
actually smart movie,1
brilliant twist ending,1
love ending perfect would tear thrilled seeing movie like never forget cult cult classic depth character man underneath malta settings dry barren dialogue movie terrible hockey scenes terrible defensemen playing like years old goalies diving shots feet wide net etc seen waste time call movie drama ridiculous started watching believe characters particular relationship bakery assistant waitress work superficial movie gave feeling watching play rather film characters stagey storyline lot like stage farce time pyromaniac waylaid assistant bored care happened next switched glad pay see laugh even smile anything one big yawn really good show watch educational children years old barney definitely super de duper pretty funny babie bop cute kids cool storm trooper even bad enough make list wonderfully terrible movies,0
lame,0
guy said hes better dialogue potted plants right,0
everything movie stupid,0
even love bad movies watch movie,0
shameful,0
would give television series plus could,1
writers smack think best actors actresses bonus showthese characters real,1
must say taped episodes find watching,1
know gave,1
know exactly movie latched endearing movie become special part familys memories,1
totally absolutely recommend movie anyone likes good wholesome family movies exactly,1
things four kids get absolutely hilarious watch,1
one best movies shows strong sibling bond,1
much interesting action suspense less unneeded controversy,1
everything acting cinematography solid,1
definitely worth checking,1
damian talented versatile many ways writing portraying different characters screen,1
movie cutting edge,1
pleased know modern day genius letting passion art drive taking us audience,1
new characters memorable found forgetting,0
felt though going ireland absolutely nothing whatsoever,0
make scared horrified make sympathetic towards characters simply annoying,0
jerky camera movements also annoying,0
plot pretty much every cheap horror,0
pathetic attempts give characters depth really work rest plot,0
guess supposed clever twist would light situation stupid,0
see probably leave shelf,0
elias koteasjack palance play good roles angelina hot gets nakedbilly drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget,1
awesome movie bought ebay,1
really loved story line poler bear kind cutebut anyone question fort steele ask away,1
totally unfunny movie top pathetic unrealistic throughout whole minutes utter torture probably looked watch times,0
lucy bell much higher crap sink low quite depressing,0
movie make sick watching slackers make excuses stupid actions minutes,0
god never get minutes back,0
think wonderful parts literally full wonder excerpts works,1
sets especially designed work camera amazingstylized beautiful effective,1
could used exemplars set designer,1
stories powerful explorations nature man art,1
watching film wanted learn works artist,1
highly recommend movie anyone interested art poetry theater politics japanese history,1
wind lion see wonderful rendering americas imperial age,1
makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history,1
though wind lion told largely eyes son every member family identify one characters whether sean connerys noble brigand candace bergens feisty heroine john hustons wily john hay steve kanalys spiffy radiant ruthless cando lieutenant roosevelts big stick,1
high adventure best,1
think robert ryans best film portrayed someone like father schizophrenic real lifemy father although never murdered anyone affected second world war made worse,1
humour get get day apt,1
mother brother thiswhen saw robert ryan portraying type man good imitation type individual impressed,1
almost songs cover girl oldfashioned tuneful,0
annoying thing cover girl way rita hayworth put pedestal,0
unfortunately cover girl example hollywood used exploit women financial gain,0
nonlinear narration thus many flashbacks every part articulated quite well,1
good cinematography also makes monica bellucci look beautiful,1
good commentary todays love undoubtedly film worth seeing,1
people first timers film making think excellent job,1
popular cinema good house good reactions plenty laughs,1
feelgood film felt came cinema,1
northern humour positive community represents,1
rather enjoyed,1
liked,1
could take seriously,0
really created unique feeling though,1
vivian schilling excellent job script,1
world better garbage theatres today,1
role played well,1
screamy masculine right,1
camera really likes movie,1
would casted role ready script,1
european movie nice throwback time student experiences living abroad interacting nationalities although circumstances slightly different,1
fan movie sucked really bad,0
even worse ticker,0
movie bad,0
like buildings used couple locations maybe poor hummh,0
blew,0
movie excellentangel beautiful scamp adorablehis little yelps hes scaredand funniest parts whenscamp caught curtain angel scamp singing never feeling beforei totally recommend movieits coming special edition june cover scamp garbage angel underneath lid,1
cannot explain movie romanticcharminghilariousand adorablethe junkyard scenes funnyall junkyard dogs something specialtoo funny laughedkids love itbuy comes outit new features,1
chosen tortured disgusting piece blatant american propaganda,0
show made americans stupid full hatred clichs admitted elsewhere,0
almost everyone involved must return school acting utterly predictable bad script pile garbage round,0
wish could enter negative values admins,0
sets bad would look place thunderbirds episode,0
use slowmotion needlessly repeats throughout movie well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity,0
oh yeah storyline pathetic,0
hate writing bad reviews films especially really like star film bad believe one second anyone could proud,0
filmmaker director would hide head sand id spent whatever amount money time movie,0
short monumental waste time energy would recommend anyone ever see film,0
came free dvd player bought still turned thing halfway embarrassed howell,0
setting,0
interesting premise billy drago always good dangerous nutbag side note id love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones,1
soundtrack terrible either,1
actingeven professionals drago debbie rochonwas terrible directing worse perhaps contributory former dialog chimplike camera work barely tolerable,0
still sets got big oyvey scale,1
yes simplifying things sake brevity really core problems film much going without real fulfilling explanation,0
good jobs quite amusing,1
convoluted plot convince much film watched weird questioning glance,0
let girlfriend talk seeing bad idea hated,0
last minutes movie also bad well,1
bela lugosi totally extraneous intoning odd lines,0
acting decidely wooden though worse period universal b movie,0
like armand assante cable companys summary sounded interesting watched twice already probably,1
believe screenwriter good job tying loose ends,1
score mostly plot,1
say like spoilers want one believe film worth time,1
wow bad film,0
frightening least barely comprehensible,0
plot hang together acting absolutely appalling,0
even good camp value,0
expecting oscar material,0
would iq particularly stupid mollusk see one coming,0
film use word loosely insult moviegoing public,0
someone involved knew string together narrative,0
gets simply nothing lower,0
one watched recently fox movie channel disappointed,0
know contract player little control scripts acting bad script,0
victor mclaglen even bad brian donlevy almost unrecognizable,0
considering relations screen taylor stanwyck surprising little chemistry screen two,0
premise film ridiculous president us,0
death row scenes entirely unmoving,0
thing worse taylors acting stanwycks singing,0
whatever producer going missed entirely,0
deeply impressed character played,1
knew saw film great things come gifted actor,1
cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clichs thrown abandoned factory ready poorly executed flying judo rolls la john woo,0
even squibs look awful,0
point proceedings look remotely like america,0
plot derivative predictable ending like mercy killing,0
awful dialogue hopeless overacting everyone gets shot top real waste space time,0
uneasy bad movie scared,0
dialogue composed things make little sense,0
minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudosatanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words,0
directing sloppy best,0
hackneyed writing certainly made even worse bad directing,0
course acting blah,0
acting whole cast could put scale balanced perfectly overacting underacting,0
finally get ending would great handled competent people jerry falwell,0
loved movie great portrayal family share ups end knew special love,1
seen many movies starring jaclyn smith god one best though came years ago,1
movie contained allstar cast loved opened eyes see actors seen,1
movie kind long length enjoyed every minute,1
overall rate movie scale,1
lifetime air enough anyone knows store sells let know musthave,1
particularly remember senses assaulted strident cords music would blare little warning even less meaning,0
sort pap screened afternoon punish unemployed jobs,0
totally different loads understatement black comedy film get see remember,1
movie creates universe fascinating every way,1
movie really got,1
see,1
really hope team behind movie makes movies continue kind weird style,1
forgot casting superb trond fausa aurvg perfect role bothersome man understand,1
movie good humorous comment life,1
found move beautiful enjoyable uplifting,1
initially local sites film filmed buffalo intrigued,1
later found lost power film,1
entire audience applauded conclusion film,1
left theater lilt step joy heart hope human race,1
duris wholesome appearance gives fine performance,1
rest cast also play well,1
cinematography noteworthy including fine views barcelona famed gaudi towers,1
ten minutes film started second thoughts,0
half way film started dislike,0
time film ended disliked despised,0
film lacks convincing script,0
script looks rough draft written shooting began finished script completed,0
things happen characters personalities change plot twists occur real reason script calls,0
cast good,1
worth checking,1
probably irritating show ever seen entire life,0
indescribably annoying idiotic show ever seen,0
everything bad,0
could understand kind idiot would produce mess first place mention several season,0
script bad bad contains cheesiness unethical joke normally see rated r nc movie,0
casting also horrible see really really bad actors period,0
final word show real torture,0
zillion times away reality,0
watching washing machine twirling around would hurt eyes much show,0
rating grade z note show bad even mother cast pull daughter show,0
th century foxs road house quite silly noir implausible unmitigated bore movie,0
full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,0
widmark character turns unintentionally comical,0
losing marbles early proceedings totally implausible unconvincing,0
enough mess movie picture also marred constant use studio sets indoor exteriors,0
whatever prompted documentary beyond,0
serious spoilers movie huge disappointment,0
many problems know start,0
cast great,1
steve martin delivers really funny performance middleaged upper class uptight white guy,1
add betty white jean smart great cast everyone played parts really well,1
movie makes lot serious mistakes,0
first enough racial stereotypes racial jokes offend everyone,0
movie littered overt racial slurs towards black cast members return whites depicted morons boobs,0
putting race card aside let us look major flaw film destroy latifas character,0
real plot,0
would see movie free,0
steamboat willie amazingly important film cinema history,1
second appearance mickey mouse following silent plane crazy earlier year probably famous filmmostly groundbreaking,1
yet hear mickey speak tons sound effects music throughout filmsomething take granted huge crowd pleaser,1
however seeing short years amazed timeless film actually,1
adorable seeing mickey playing turkey straw highly imaginative occasionally cruel way,1
clever real crowdpleaserthis film still ranks among mickeys best films even wonderful years,1
bipolarity ruthless thug one minute ruthless killer next minute luvs diaper commercial completely unconvincing,0
terribly disappointed film would receive many awards accolades especially far deserving works film,0
original body soul masterpiece,1
john garfield ann revere lilli plmer william conrad canada leeand filmed one greatest cinematographers ever grace screenjames wong howe,1
think redeeming qualities remake,0
may bad film ever made,0
badwellits bad,0
movie solid example bad plot bad idea way,0
shame see good actors like thomerson james make living mess like,0
thought bad,0
films terrible credit version watchable,0
let us start problemsthe acting especially lead professor bad,0
script big flawed mess,0
best example dumb writing established turn zombiestudents back humans removing necklace containing piece meteorite,0
director paul matthews also wrotedirected weak monster movie grim clearly know pace films,0
movie terribly boring places,0
lighting awful,0
film looks cheap bland,0
one disappointing aspects lack notable gore,0
convention never worked well past certainly work,0
visual effects awful,0
cg opening sequence space looked like could created microsoft slideshow gods sake,0
explosion gas tanks end awful,0
okay like consider fair critic ill give credit credits duethe creature effects actually pretty cool,1
got love closeups slimy drooling teeth,1
sum film breeders terrible cheaply made horror movie avoided like ebola virus,0
recommended,0
almost unbearable watch screen little charisma terrible comedic timing,0
aside terrible lead film loads debits,0
understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive,0
lewis blacks considerable talent wasted incendiary unrestrained pg rating certainly allow,0
films sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim,1
originality freshness first movie spent remake little else offer,0
budget evidently limited,0
reflected cast also belowpar script borrowed much earlier classic,0
however decent acting action location work balance things,0
filmiing less expansive,0
failed convey broad sweep landscapes great part original,0
generally lacked imagination,0
recommended,0
possible movie get worse,0
plot keep going first place,0
even women finally show sign improvement expected things happen time film might far asleep,0
beware trashy cult movie trash period,0
cannot believe even sequel,0
precisely giving bad review,0
child truly enjoyed show proudly say enjoyed big time even classical wb cartoons,1
tiny toons kept vibe delivered one popular funny underrated cartoons ever created,1
memories murky say enjoyed every single episode product related show,1
easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers,1
characters funny peculiarity true lead character,1
every single character hilarious deserved called lead,1
every element story top excessively phony contrived painful sit,0
lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,0
perabo nice energy level obviously comfortable front camera,1
simply excuse something poorly done,0
saw movie thought stupid movie,0
even stupid thought idea volcano los angeles,0
honest unbelievable nonsense foolish,0
conclusion bother movie volcano los angeles nothing nonsense,0
story line awful,0
painful,0
accents absolutely abysmal,0
also enough hypocrisy film make vomit,0
waste time watching rubbish nonresearched film,0
believe pitch black done well,1
characters interesting want find longer movie goes think people surprised make,1
go watch,1
omit watching,0
funny,1
rating,0
characters interesting really care,1
instant classic great soundtrack catchy song ending credits,1
miss,1
masterful piece filmmaking many themes simmering occasionally boiling warts study poets bohemian selfindulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism selfsacrifice,1
mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention,1
exquisite visual composition moment inventive elegant use closeup camera angle lighting including pointillistic faux home movie footage wonder joy behold,1
continuously beautiful look bertolucci relationships convincing narrative engaging masters work,1
basic premise wasted since sidelined inexplicable focus documentary crew,0
regardless film fails levels,0
avoid costs,0
saw film christmas great film,1
thought errol flynn brilliant custer since become favourite actor,1
acting alongside olivia de havilland brilliant ending fantastic,1
always known errol flynn brilliant actor dads favourite actor grew watching films child,1
watched film realised great actually,1
ill give film,1
know jim oconnor energetic nobody could much george well dull,0
really seem want hosting voiceovers monotonous get involved guests,0
lovely little thriller hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot random taxidermists,1
jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcocks black white lowbudget original,1
nevertheless yet another wonderful film great masters stable,1
say film excellently produced tops ratings typical sci fi film,1
excellently produced one scifis best producers scot vandiver,1
entertaining nonetheless,1
campy sort film joy watch,1
barely boring moment film plenty humorous parts,1
cast always entertaining usual,1
overall delight,1
movie mindbendingly awful could even created,0
film lacks real scares tension medical terminology used throughout bit iffy say least say insulin dependant diabetic,0
least said acting better,0
movie excellent job revealing complexity task incredible challenges facing south africa,1
believe every one see movie think people outside south africa understand past attempted truth reconciliation process,1
nothing short magnificent photographycinematography film,1
acting fantastic stories seamlessly woven together dogs splendid must rent view see,1
afraid subtitles worth little aversion therapy,1
excellent performance,1
still good actors around,1
also great directing photography,1
true shakespear must shakespear fans,1
macbeth jason connery moved tears final monolog brief candle outhe gave sphere moral decay dark forces human face makes interesting,1
helen baxendale credible lady macbeth cheerfull times sometimes looks like naughty girl deadly taste blood evil,1
love death decay shakespears lyrics one,1
witty delightful adaptation dr seuss book brilliantly animated upas finest thoroughly deserving academy award,1
special mention made superb music score sound effects integral element helping make memorable enjoyable cartoon,1
however paul schrader indeed made film mishima superb complex,1
also notable john baileys fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppolas dracula received well deserved oscar,1
even allowing poor production values time format kind miniseries baaaaaad,0
unless visually collect extant films austens work skip one,0
watch however small consolations actresses playing annes sisters wonderful job roles,1
good,0
speaking music unbearably predictably kitchy,0
film dropped ball,0
stunning movie,1
raw sublimely moving,1
felt like gripping intelligent stage play without overly theatrical feeling one actually gets watching people stage plays everyone terror white lie escalating monstrous consequences,1
main players mesmerising,1
tom wilkinson broke heart end everyone elses judging amount fumbling hankies hands going faces among males females alike,1
julian fellowes triumphed,1
hes national treasure,1
go see,1
excellent film,1
aerial scenes welldone,1
also right balance war love,1
film gives meaning phrase never history human conflict much owed many,1
kris kristoffersen good movie really makes difference,1
good film great director,1
definitely one better documentaries seen looking family relationships marriage,1
many continuity errors one user commented different cars garage joes glassesthe one got fact joes facial hair configuration seemed change scene scene,0
great movie,1
stars,1
cannot see movie inspiration anyone come overcome fear rejection,0
bad actually worth seeing reason,0
punishment park brilliant piece cinema,1
shot southern california desert using patent faux documentary style watkins creates film like,1
one peter watkins accessible films,1
advise look,1
regret,1
highly recommended,1
well keep thinking bad,0
mediocre miserable hollow laughable predictable piece garbage,0
case bad laughable,0
bad performance plays angela bennett computer expert home time,0
film nothing pretext show ridiculous action scenes,0
awful,0
still bad actress repeating robotic face moves pictures,0
results well shame,0
delete film mind,0
one worst shows time,0
show would begin smart ass ed comments would totally wall uncalled,0
fat computer geek unbelievable bible thumper badass girl actors,0
never heard except cole totally unbelievable part,0
every time opened mouth expect hear see kids pulling plug mercy killing horrible show,0
stories unbelievable actors,0
lame would best way describe,0
stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility,1
success film depends casting sydney greenstreet alexander yardley character,1
attractive set used throughout film eyepleasing gem,1
big fan rpg games movie disgrace selfrespecting rpger,0
lines cuts audio everything wrong,0
find better movies youtube,0
top line waste time money one bad comes,0
lassie movie put sleep forever,0
id describe painfully dreary timewaster film,0
mediocre every aspect becomes dull uninteresting mess one forgettable movies seen,0
even achievement sobaditsgood sobaditsmemorable movie,0
empty hollow movie,0
seriously worth wasting kids time,0
avoid avoid avoid,0
drive barking mad,0
transfers good,1
nice relaxing late night viewing,1
movie full wonderful dancing hence title,1
great music terrific scenery,1
handles tough issues dignity grace course shocking spoiler,1
happy wonderful feel good ending,1
point journey journey touches every member family,1
one movies need see whenever comes tvnever mind fact already memorized,1
nothing new,0
done second movie,0
movie almost action scenes little comedy,0
plot holes pair fishnet stockings direction editing astonishingly ham fisted,0
earth irons film,0
saw film recommend,1
good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good,1
good film indeed great unconditional love,1
tom wilkinsons character man prepared ordeal begin takes matter hand story progresses great actor gives performance makes feel characters anguish suffering,1
emily watsons character strong give quick glance understand everything,1
despite pans reviewers liked movie,1
fact liked better interview vampire liked lestat stuart townsend better cruises attempt,1
aailiyah pretty good akasha places compelling first entrance mini dance scene,1
big fan series mostly due anne rices style sensitivities treatments,1
guess liked details dysfunctionhe believable,1
football scenes end perplexing,0
thought acting skilled,1
meredith better right,1
charming film wonderful sentiment heart,1
rare filmmaker takes time tell worthy moral tale care love fall trap overly syrupy indulgent,1
nine ten truly lovely film,1
early film future goremeister lucio fulci good addition giallo subgenre,1
one best italian thrillers early,1
standout scene,1
scene strong unpleasant,0
technically film well made impressive camerawork solid acting effective music riz ortolani particularly good recurring unaccompanied female vocal sounds like coming distant hill,1
still wild stuff though highly recommended fans giallo cinema,1
movie interesting beginning end,1
liked way dustin hoffmans character ready everything stay son,1
movie also revealing,1
personally think shows people learn find compromise self without involving people issue,1
boring,0
tired clichs lazy writing come thick fast,0
ps scene movie cool central character finds room blown,1
fresh subtle rather sublime effect,1
italian reviewer called small great film right,1
actors give wonderful performance especially jennifer rubin jamie harris changes nervous starlet beginning strange events part cool star,1
learn lot real inside emotions people movie lot movie business,1
movie movie situations beginning game played acting coach fascinating,1
also music mark snow possibly best score ever heard,1
forget movie,1
film made,0
film ultracheap look,0
result film look right,0
none engaging exciting,0
plot nonsense interest slightest way uniqueness,0
foreigner worth one second time,0
saw child tv back stranger loved,1
duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronauts biggest fear crashed ussr,1
movie awesome,1
loved really scary,1
love scream movies horror movies one ranks way,1
want real scare rent one,1
,1
extraordinary film,1
courtroom drama compelling indictment american justice system frightening,1
film highlights fundamental flaws legal process discovering guilt innocence rather presents better court,1
film well paced understated one best courtroom documentaries seen,1
mostly routine factbased tv drama gets boost fine performance cole,1
predictable bad watch,1
clear range ability pull part,1
carries movie well,1
constantine gives everything right intensity seems good understanding underlying psychological motivations,1
wonderful inspiring watch hope gets released video dvd,1
piece trash ever released beyond acting story characters supposedly special effects etcits wrong,0
fact stinker smells like directtovideo release,0
avoid costs,0
star trek v final frontier worst series,0
acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain,0
attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously care film oh mention uhura belly dance distract male guards,0
place good film garbage,0
worst one series,0
editing editing film phenomenal opinion,1
